DicTerm,DAV,IAV,SV
abandon,,X,
abandoned,,X,
abandoning,,X,
abandons,,X,
abhor,,,X
abhorred,,,X
abhorring,,,X
abhors,,,X
absorb,X,,
absorbed,X,,
absorbing,X,,
absorbs,X,,
abuse,,X,
abused,,X,
abuses,,X,
abusing,,X,
accede,,X,
acceded,,X,
accedes,,X,
acceding,,X,
accelerate,X,,
accelerated,X,,
accelerates,X,,
accelerating,X,,
accentuate,,X,
accentuated,,X,
accentuates,,X,
accentuating,,X,
accept,,X,
accepted,,X,
accepting,,X,
accepts,,X,
accommodate,,X,
accommodated,,X,
accommodates,,X,
accommodating,,X,
accompanied,X,,
accompanies,X,,
accompany,X,,
accompanying,X,,
accomplish,,X,
accomplished,,X,
accomplishes,,X,
accomplishing,,X,
accord,,X,
accorded,,X,
according,,X,
accords,,X,
account,,X,
accounted,,X,
accounting,,X,
accounts,,X,
accumulate,X,,
accumulated,X,,
accumulates,X,,
accumulating,X,,
accuse,,X,
accused,,X,
accuses,,X,
accusing,,X,
accustom,,X,
accustomed,,X,
accustoming,,X,
accustoms,,X,
ache,,,X
ached,,,X
aches,,,X
achieve,,X,
achieved,,X,
achieves,,X,
achieving,,X,
aching,,,X
acknowledge,,X,
acknowledged,,X,
acknowledges,,X,
acknowledging,,X,
acquaint,,X,
acquainted,,X,
acquainting,,X,
acquaints,,X,
acquire,X,,
acquired,X,,
acquires,X,,
acquiring,X,,
act,X,,
acted,X,,
acting,X,,
acts,X,,
adapt,,X,
adapted,,X,
adapting,,X,
adapts,,X,
add,X,,
added,X,,
addict,,X,
addicted,,X,
addicting,,X,
addicts,,X,
adding,X,,
address,,X,
addressed,,X,
addresses,,X,
addressing,,X,
adds,X,,
adhere,,X,
adhered,,X,
adheres,,X,
adhering,,X,
adjusts,,X,
administer,,X,
admire,,,X
admired,,,X
admires,,,X
admiring,,,X
admit,,X,
admits,,X,
admitted,,X,
admitting,X,,
admonish,,X,
adopt,,X,
adopting,,X,
adopts,,X,
adore,,,X
adored,,,X
adores,,,X
adoring,,,X
adorn,,X,
adulterate,,X,
advance,,X,
advanced,,X,
advances,,X,
advancing,,X,
advise,,X,
advised,,X,
advises,,X,
advising,,X,
advocate,,X,
affect,,X,
affected,,X,
affecting,,X,
affects,,X,
affiliate,,X,
affirm,,X,
afflict,,X,
afford,,X,
afforded,,X,
affording,,X,
affords,,X,
age,,X,
aged,,X,
ages,,X,
aggravate,,X,
aging,,X,
agitate,,X,
agonize,,,X
agonized,,,X
agonizes,,,X
agonizing,,,X
agree,,X,
agreed,,X,
agreeing,,X,
agrees,,X,
aid,,X,
aided,,X,
aiding,,X,
aids,,X,
aim,X,,
aimed,X,,
aiming,X,,
aims,X,,
air,,X,
alarm,,X,
alert,,X,
alerted,,X,
alerting,,X,
alerts,,X,
alienate,,X,
alight,X,,
alighted,X,,
alighting,X,,
alights,X,,
allege,,X,
alleviate,,X,
allied,,X,
allot,,X,
allow,,X,
allowed,,X,
allowing,,X,
allows,,X,
ally,,X,
along,,X,
alter,,X,
altering,,X,
alternate,,X,
alters,,X,
amaze,,,X
amazed,,,X
amazes,,,X
amazing,,,X
amble,X,,
ambled,X,,
ambles,X,,
ambling,X,,
ambush,,X,
ameliorate,,X,
amend,,X,
amended,,X,
amending,,X,
amends,,X,
amount,,X,
amplified,X,,
amplifies,X,,
amplify,X,,
amplifying,X,,
amputate,,X,
amuse,,,X
amused,,,X
amuses,,,X
amusing,,,X
analyze,,X,
analyzed,,X,
analyzes,,X,
analyzing,,X,
anchor,,X,
anger,,,X
angered,,,X
angering,,,X
angers,,,X
annihilate,,X,
announce,X,,
announced,X,,
announces,X,,
announcing,X,,
annoy,,X,
annoyed,,X,
annoying,,X,
annoys,,X,
answer,,X,
answered,,X,
answering,,X,
answers,,X,
antagonize,,X,
anticipate,,,X
anticipated,,,X
anticipates,,,X
anticipating,,,X
apologize,,X,
apologized,,X,
apologizes,,X,
apologizing,,X,
appall,,,X
appeal,,X,
appealed,,X,
appealing,,X,
appeals,,X,
appear,X,,
appeared,,X,
appearing,,X,
appears,,X,
appease,,X,
appeased,,X,
appeases,,X,
appeasing,,X,
applaud,X,,
applauded,X,,
applauding,X,,
applauds,X,,
applied,X,,
applies,,X,
apply,,X,
applying,,X,
appoint,X,,
appointed,X,,
appointing,X,,
appoints,X,,
appreciate,,,X
appreciated,,,X
appreciates,,,X
appreciating,,,X
approach,X,,
approached,X,,
approaches,X,,
approaching,X,,
appropriate,,X,
approve,,X,
approved,,X,
approves,,X,
approving,,X,
arbitrate,,X,
are,,,X
argue,,X,
argued,X,,
argues,X,,
arguing,X,,
arise,X,,
arisen,X,,
arises,X,,
arising,X,,
arm,,X,
armed,,X,
arose,X,,
arrange,,X,
arranged,,X,
arranges,,X,
arranging,,X,
arrest,X,,
arrested,X,,
arresting,X,,
arrests,X,,
arrive,X,,
arrived,X,,
arrives,,X,
arriving,,X,
art,,,X
articulate,,X,
articulated,,X,
articulates,,X,
articulating,,X,
ascertain,,X,
ascribe,,X,
ask,X,,
asked,X,,
asking,X,,
asks,X,,
aspire,,,X
aspired,,,X
aspires,,,X
aspiring,,,X
assail,,X,
assassinate,,X,
assault,,X,
assaulted,,X,
assaulting,,X,
assaults,,X,
assert,,X,
assign,X,,
assigned,X,,
assigning,X,,
assigns,X,,
assimilate,,X,
assist,,X,
assisted,,X,
assisting,,X,
assists,,X,
associate,,X,
associated,,X,
associates,,X,
associating,,X,
assuage,,X,
assuaged,,X,
assuages,,X,
assuaging,,X,
assume,,X,
assumed,,X,
assumes,,X,
assuming,,X,
assure,,X,
assured,,X,
assures,,X,
assuring,,X,
astonish,,,X
astonished,,,X
astonishes,,,X
astonishing,,,X
astound,,,X
astounded,,,X
astounding,,,X
astounds,,,X
ate,X,,
atrophy,,X,
attach,,X,
attached,,X,
attaches,,X,
attaching,,X,
attack,,X,
attacked,,X,
attacking,,X,
attacks,,X,
attain,,X,
attained,,X,
attaining,,X,
attains,,X,
attempt,,X,
attempted,,X,
attempting,,X,
attempts,,X,
attend,X,,
attended,,X,
attending,X,,
attends,X,,
attest,,X,
attract,,X,
attracted,,X,
attracting,,X,
attracts,,X,
attribute,,X,
audition,X,,
auditioned,X,,
auditioning,X,,
auditions,X,,
augment,,X,
authorize,,X,
avail,,X,
average,,X,
avert,,X,
avoid,,X,
avoided,,X,
avoiding,,X,
avoids,,X,
await,,X,
awaited,,X,
awaiting,,X,
awaits,,X,
awake,X,,
awaken,X,,
awakened,X,,
awakening,X,,
awakens,X,,
awakes,X,,
awaking,X,,
award,,X,
awarded,,X,
awarding,,X,
awards,,X,
awoke,X,,
awoken,X,,
babysat,X,,
babysit,X,,
babysits,X,,
babysitting,X,,
back,,X,
backed,,X,
backing,,X,
backs,,X,
bail,,X,
bait,X,,
baited,X,,
baiting,X,,
baits,X,,
bake,X,,
baked,X,,
bakes,X,,
baking,X,,
balance,,X,
balanced,,X,
balances,,X,
balancing,,X,
balk,,X,
ban,,X,
band,,X,
bang,X,,
banged,X,,
banging,X,,
bangs,X,,
banish,,X,
bank,,X,
banned,,X,
banning,,X,
bans,,X,
banter,,X,
bare,,X,
bared,,X,
bares,,X,
barf,,X,
barfed,,X,
barfing,,X,
barfs,,X,
bargain,,X,
baring,,X,
bark,X,,
barked,X,,
barking,X,,
barks,X,,
base,,X,
based,,X,
bases,,X,
basing,,X,
bat,X,,
batches,X,,
bathe,X,,
bathed,X,,
bathes,X,,
bathing,X,,
bats,X,,
batted,X,,
batting,X,,
battle,,X,
battled,,X,
battles,,X,
battling,,X,
beam,X,,
beamed,X,,
beaming,X,,
beams,X,,
bear,,X,
bearing,,X,
bears,,X,
beat,X,,
beaten,X,,
beating,X,,
beats,X,,
beautify,,X,
became,,,X
becomes,,X,
becoming,,X,
befit,,X,
befriend,,X,
befriended,,X,
befriending,,X,
befriends,,X,
beg,,X,
began,,X,
begged,,X,
begging,,X,
begin,,X,
beginning,,X,
begins,,X,
begs,,X,
begun,,X,
behave,,X,
behaved,,X,
behaves,,X,
behaving,,X,
being,,,X
belie,,X,
believe,,,X
believed,,,X
believes,,,X
believing,,,X
belittle,,X,
belong,,,X
belonged,,,X
belonging,,,X
belongs,,,X
belt,,X,
bend,X,,
bending,X,,
bends,X,,
benefit,,X,
benefiting,,X,
benefits,,X,
bent,X,,
bents,X,,
bereave,,X,
bereaved,,X,
bereaves,,X,
bereaving,,X,
beseech,,X,
besiege,,X,
bestow,,X,
bestowed,,X,
bestowing,,X,
bestows,,X,
bet,X,,
betray,,,X
betrayed,,,X
betraying,,,X
betrays,,,X
betroth,,X,
bets,X,,
betted,X,,
better,,X,
bettered,,X,
bettering,,X,
betters,,X,
betting,X,,
beware,,X,
bewilder,,,X
bewildered,,,X
bewildering,,,X
bewilders,,,X
bias,,,X
biased,,,X
biases,,,X
biasing,,,X
bid,X,,
bide,,X,
bided,,X,
bides,,X,
biding,,X,
bids,X,,
bind,X,,
binding,X,,
binds,X,,
bit,X,,
bitch,X,,
bitched,X,,
bitching,X,,
bite,X,,
bites,X,,
biting,X,,
bitten,X,,
black,,X,
blackmail,,X,
blame,,X,
blamed,,X,
blames,,X,
blaming,,X,
blare,X,,
blared,X,,
blares,X,,
blaring,X,,
blast,,X,
blaze,X,,
blazed,X,,
blazes,X,,
blazing,X,,
bleach,,X,
bleached,,X,
bleaches,,X,
bleaching,,X,
bled,X,,
bleed,X,,
bleeding,X,,
bleeds,X,,
blend,,X,
blended,,X,
blending,,X,
blends,,X,
bless,,X,
blessed,,X,
blesses,,X,
blessing,,X,
blew,X,,
blind,X,,
blinded,X,,
blinding,X,,
blinds,X,,
blink,X,,
blinked,X,,
blinking,X,,
blinks,X,,
block,X,,
blocked,X,,
blocking,X,,
blocks,X,,
bloom,,X,
blossom,,X,
blot,,X,
blots,,X,
blotted,,X,
blotting,X,,
blow,,X,
blowing,X,,
blown,X,,
blows,X,,
blur,,X,
blurred,,X,
blurring,,X,
blurs,,X,
blurt,,X,
blush,X,,
blushed,X,,
blushes,X,,
blushing,X,,
board,X,,
boarded,X,,
boarding,X,,
boards,X,,
boast,,X,
boasted,,X,
boasting,,X,
boasts,,X,
boil,X,,
boiled,X,,
boiling,X,,
boils,X,,
bolster,,X,
bolt,X,,
bolted,X,,
bolts,X,,
bomb,X,,
bombard,X,,
bombarded,X,,
bombarding,X,,
bombards,X,,
bombed,X,,
bombing,X,,
bombs,X,,
bond,,X,
bonded,,X,
bonding,,X,
bonds,,X,
book,X,,
booked,X,,
booking,X,,
books,X,,
boost,,X,
boot,,X,
border,,X,
bore,,X,
bored,,,X
bores,,,X
boring,,,X
born,,X,
borne,,X,
borrow,,X,
borrowed,,X,
borrowing,,X,
borrows,,X,
bother,,X,
bothered,,X,
bothering,,X,
bothers,,X,
bought,,,X
bounce,X,,
bounced,X,,
bounces,X,,
bouncing,X,,
bound,X,,
bow,X,,
bowed,X,,
bowing,X,,
bowl,,X,
bows,X,,
box,X,,
boxed,X,,
boxes,X,,
boxing,X,,
boycott,,X,
brace,,X,
brag,,X,
brake,X,,
braked,X,,
brakes,X,,
braking,X,,
branch,,X,
branched,,X,
branches,,X,
branching,,X,
brand,,X,
brandish,,X,
brawl,,X,
breach,,X,
break,,X,
breakdown,,X,
breaking,X,,
breaks,X,,
breathe,X,,
breathed,X,,
breathes,X,,
breathing,X,,
bred,X,,
breed,X,,
breeding,X,,
breeds,X,,
bribe,,X,
bridge,,X,
brighten,,X,
brightened,,X,
brightening,,X,
brightens,,X,
bring,,X,
bringing,X,,
brings,X,,
bristle,,X,
broadcast,X,,
broadcasted,X,,
broadcasting,X,,
broadcasts,X,,
broaden,,X,
broadening,,X,
broadens,,X,
broke,,X,
broken,X,,
brought,X,,
bruise,X,,
bruised,X,,
bruises,X,,
bruising,X,,
brush,X,,
brushed,X,,
brushes,X,,
brushing,X,,
bubble,X,,
bubbled,X,,
bubbles,X,,
bubbling,X,,
buckle,,X,
bug,,X,
build,X,,
building,,X,
builds,,X,
built,X,,
bullied,,X,
bullies,,X,
bully,,X,
bullying,,X,
bump,X,,
bumped,X,,
bumping,X,,
bumps,X,,
bungle,,X,
burden,,X,
buried,X,,
buries,X,,
burn,X,,
burned,X,,
burning,X,,
burns,X,,
burnt,X,,
burst,X,,
bursting,X,,
bursts,X,,
bury,X,,
burying,X,,
business,,X,
bustle,,X,
bustled,,X,
bustles,,X,
bustling,,X,
buy,,,X
buying,,,X
buys,X,,
buzz,X,,
buzzed,X,,
buzzes,X,,
buzzing,X,,
cajole,,X,
cajoled,,X,
cajoles,,X,
cajoling,,X,
calculate,,X,
calculated,,X,
calculates,,X,
calculating,,X,
call,X,,
called,X,,
calling,,X,
calls,,X,
calm,,,X
calmed,,,X
calming,,,X
calms,,,X
came,,X,
camp,X,,
campaign,,X,
camped,X,,
camping,X,,
camps,X,,
can,,,X
can't,,,X
cancel,X,,
canceled,X,,
canceling,X,,
cancelled,X,,
cancels,X,,
cannot,,,X
canvas,,X,
capitalize,,X,
capitulate,,X,
capsize,,X,
captivate,,,X
captivated,,,X
captivates,,,X
captivating,,,X
capture,,X,
captured,,X,
captures,,X,
capturing,,X,
care,,,X
cared,,,X
cares,,,X
caring,,,X
carried,X,,
carries,X,,
carry,X,,
carrying,X,,
carve,X,,
carved,X,,
carves,X,,
carving,X,,
case,,X,
cased,,X,
cases,,X,
cash,,X,
cashed,,X,
cashes,,X,
cashing,,X,
cast,X,,
casted,,X,
casting,X,,
casts,X,,
catch,,X,
catches,X,,
catching,X,,
caught,,X,
cause,,X,
caused,,X,
causes,,X,
causing,,X,
cease,,X,
ceased,,X,
ceases,,X,
ceasing,,X,
celebrate,,X,
celebrated,,,X
celebrates,,,X
celebrating,,,X
center,,X,
centered,,X,
centering,,X,
centers,,X,
challenge,,X,
challenged,,X,
challenges,,X,
challenging,,X,
chance,,X,
chanced,,X,
chances,,X,
change,,X,
changed,,X,
changes,,X,
changing,,X,
channel,,X,
channeled,,X,
channeling,,X,
channels,,X,
characterize,,X,
characterized,,X,
characterizes,,X,
characterizing,,X,
charge,,X,
charged,,X,
charges,,X,
charging,,X,
chase,X,,
chased,X,,
chases,X,,
chasing,X,,
chat,X,,
chats,X,,
chatted,X,,
chatting,X,,
cheat,,X,
cheated,,X,
cheating,,X,
cheats,,X,
check,,X,
checked,,X,
checking,,X,
checks,,X,
cheer,,,X
cheered,,,X
cheering,,,X
cheerlead,,X,
cheerleading,,X,
cheerleads,,X,
cheers,,,X
cherish,,,X
cherished,,,X
cherishes,,,X
cherishing,,,X
chew,X,,
chewed,X,,
chewing,X,,
chews,X,,
chill,,X,
chilled,,X,
chilling,,X,
chills,,X,
chip,,X,
chipped,,X,
chipping,,X,
chips,,X,
choke,X,,
choked,X,,
chokes,X,,
choking,X,,
choose,,X,
chooses,,X,
choosing,,X,
chop,X,,
chopped,X,,
chopping,X,,
chops,X,,
chose,,X,
chosen,,X,
circle,X,,
circled,X,,
circles,X,,
circling,X,,
claim,,X,
claimed,,X,
claiming,,X,
claims,,X,
clap,X,,
clapped,X,,
clapping,X,,
claps,X,,
classified,,X,
classifies,,X,
classify,,X,
classifying,,X,
clean,X,,
cleaned,,X,
cleaning,X,,
cleans,X,,
clear,,X,
cleared,,X,
clearing,,X,
clears,,X,
cleave,,X,
cleaved,,X,
cleaves,,X,
cleaving,,X,
click,,X,
clicked,,X,
clicking,,X,
clicks,,X,
climb,X,,
climbed,X,,
climbing,X,,
climbs,X,,
cling,X,,
clinging,X,,
clings,X,,
clip,X,,
clipped,X,,
clipping,X,,
clips,X,,
clock,,X,
clocked,,X,
clocking,,X,
clocks,,X,
close,,X,
closed,X,,
closes,,X,
closing,,X,
clothe,X,,
clothed,X,,
clothes,X,,
clothing,X,,
clung,X,,
coach,,X,
coached,,X,
coaches,,X,
coaching,,X,
code,,X,
coded,,X,
codes,,X,
coding,,X,
coil,X,,
coiled,X,,
coiling,X,,
coils,X,,
collaborate,,X,
collaborated,,X,
collaborates,,X,
collaborating,,X,
collapse,X,,
collapsed,X,,
collapses,X,,
collapsing,X,,
collar,,X,
collared,,X,
collaring,,X,
collars,,X,
collect,,X,
collected,,X,
collecting,,X,
collects,,X,
color,,X,
colored,,X,
coloring,,X,
colors,,X,
comb,X,,
combed,X,,
combine,,X,
combined,,X,
combines,,X,
combing,X,,
combining,,X,
combs,X,,
come,,X,
comes,,X,
comfort,,X,
comforted,,X,
comforting,,X,
comforts,,X,
coming,,X,
command,,X,
commanded,,X,
commanding,,X,
commands,,X,
comment,,X,
commented,,X,
commenting,,X,
comments,,X,
commit,,X,
commits,,X,
committed,,X,
committing,,X,
communicate,,X,
communicated,,X,
communicates,,X,
communicating,,X,
compare,,X,
compared,,X,
compares,,X,
comparing,,X,
compel,,X,
compelled,,X,
compelling,,X,
compels,,X,
compensate,,X,
compensated,,X,
compensates,,X,
compensating,,X,
compete,,X,
competed,,X,
competes,,X,
competing,,X,
complain,,X,
complained,,,X
complaining,,,X
complains,,,X
complement,,X,
complemented,,X,
complementing,,X,
complements,,X,
complete,,X,
completed,,X,
completes,,X,
completing,,X,
complicate,,X,
complicated,,X,
complicates,,X,
complicating,,X,
compose,,X,
composed,,X,
composes,,X,
composing,,X,
comprehend,,,X
comprehended,,,X
comprehending,,,X
comprehends,,,X
comprise,,X,
comprised,,X,
comprises,,X,
comprising,,X,
compromise,,X,
compromised,,X,
compromises,,X,
compromising,,X,
concentrate,,X,
concentrated,,X,
concentrates,,X,
concentrating,,X,
concern,,,X
concerned,,,X
concerning,,,X
concerns,,,X
conclude,,X,
concluded,,X,
concludes,,X,
concluding,,X,
concur,,,X
concurred,,,X
concurring,,,X
concurs,,,X
conditioned,,X,
conditioning,,X,
condone,,,X
condoned,,,X
condones,,,X
condoning,,,X
conduct,,X,
conducted,,X,
conducting,,X,
conducts,,X,
confess,,X,
confessed,,X,
confesses,,X,
confessing,,X,
confide,,X,
confided,,X,
confides,,X,
confiding,,X,
confine,,X,
confined,,X,
confines,,X,
confining,,X,
confirm,,,X
confirmed,,,X
confirming,,,X
confirms,,,X
conflict,,X,
conflicted,,X,
conflicting,,X,
conflicts,,X,
conform,,,X
conformed,,,X
conforming,,,X
conforms,,,X
confront,,X,
confronted,,X,
confronting,,X,
confronts,,X,
confuse,,,X
confused,,,X
confuses,,,X
confusing,,,X
connect,,X,
connected,,X,
connecting,,X,
connects,,X,
conquer,,X,
conquering,,X,
conquers,,X,
consent,X,,
consented,X,,
consenting,X,,
consents,X,,
consider,,X,
considered,,X,
considering,,X,
considers,,X,
consist,,X,
consisted,,X,
consisting,,X,
consists,,X,
console,,X,
consoled,,X,
consoles,,X,
consoling,,X,
construct,,X,
constructed,,X,
constructing,,X,
constructs,,X,
consume,X,,
consumed,X,,
consumes,X,,
consuming,X,,
contact,,X,
contacted,,X,
contacting,,X,
contacts,,X,
contain,,X,
contained,,X,
containing,,X,
contains,,X,
contemplated,,X,
contemplates,,X,
contemplating,,X,
content,,X,
contest,,X,
contested,,X,
contesting,,X,
contests,,X,
continue,,X,
continued,,X,
continues,,X,
continuing,,X,
contort,X,,
contorted,X,,
contorting,X,,
contorts,X,,
contrast,,X,
contrasted,,X,
contrasting,,X,
contrasts,,X,
contribute,,X,
contributed,,X,
contributes,,X,
contributing,,X,
control,,X,
controlled,,X,
controlling,,X,
controls,,X,
converse,X,,
conversed,X,,
converses,X,,
conversing,X,,
convert,,X,
converted,,X,
converting,,X,
converts,,X,
convey,,X,
conveyed,,X,
conveying,,X,
conveys,,X,
convince,,X,
convinces,,X,
convincing,,X,
cook,X,,
cooked,X,,
cooking,X,,
cooks,X,,
cool,,X,
cooled,,X,
cooling,,X,
cools,,X,
cooperate,,X,
cooperated,,X,
cooperates,,X,
cooperating,,X,
cope,,X,
coped,,X,
copes,,X,
copied,,X,
copies,,X,
coping,,X,
copy,,X,
copying,,X,
correct,,X,
corrected,,X,
correcting,,X,
corrects,,X,
correlate,,X,
correlated,,X,
correlates,,X,
correlating,,X,
cost,X,,
costing,X,,
costs,X,,
cough,X,,
coughed,X,,
coughing,X,,
coughs,X,,
could,,,X
count,X,,
counted,,X,
counting,,X,
counts,,X,
couple,X,,
coupled,X,,
couples,X,,
coupling,X,,
court,,X,
courted,,X,
courting,,X,
courts,,X,
cover,,X,
covered,,X,
covering,,X,
covers,,X,
crack,X,,
cracked,X,,
cracking,X,,
cracks,X,,
cram,,X,
crammed,,X,
cramming,,X,
cramp,,X,
cramped,,X,
cramping,,X,
cramps,,X,
crams,,X,
crash,X,,
crashed,X,,
crashes,X,,
crashing,X,,
crave,,,X
craved,,,X
craves,,,X
craving,,,X
crawl,X,,
crawled,X,,
crawling,X,,
crawls,X,,
cream,,X,
creamed,,X,
creaming,,X,
creams,,X,
create,,X,
created,,X,
creates,,X,
creating,,X,
creep,X,,
creeping,X,,
creeps,X,,
crept,X,,
crew,X,,
cried,X,,
cries,,,X
criticize,,X,
criticized,,X,
criticizes,,X,
criticizing,,X,
crop,X,,
cropped,X,,
cropping,X,,
crops,X,,
crosses,X,,
crossing,X,,
crouch,X,,
crouched,X,,
crouches,X,,
crouching,X,,
crow,X,,
crowd,,X,
crowded,,X,
crowding,,X,
crowds,,X,
crowed,X,,
crown,X,,
crowned,X,,
crowning,X,,
crowns,X,,
crumble,,X,
crumbled,,X,
crumbles,,X,
crumbling,,X,
crush,X,,
crushed,X,,
crushes,X,,
crushing,X,,
cry,X,,
crying,,,X
cuddle,,X,
cuddled,,X,
cuddles,,X,
cuddling,,X,
cultivate,,X,
cultivated,,X,
cultivates,,X,
cultivating,,X,
curb,,X,
curbed,,X,
curbing,,X,
curbs,,X,
cure,,X,
cured,,X,
cures,,X,
curing,,X,
curl,X,,
curled,X,,
curling,X,,
curls,X,,
curse,,X,
cursed,,X,
curses,,X,
cursing,,X,
curve,X,,
curved,X,,
curves,X,,
curving,X,,
cut,,,X
cuts,X,,
cutting,X,,
cycle,X,,
cycled,X,,
cycles,X,,
cycling,X,,
dam,X,,
damage,X,,
damaged,X,,
damages,X,,
damaging,X,,
dammed,X,,
damming,X,,
dams,X,,
dance,X,,
danced,X,,
dances,X,,
dancing,X,,
dare,,X,
dared,,X,
dares,,X,
daring,,X,
dash,,X,
dashed,,X,
dashes,,X,
dashing,,X,
date,,X,
dated,,X,
dates,,X,
dating,,X,
dawn,,,X
dawned,,,X
dawning,,,X
dawns,,,X
deal,,X,
dealing,X,,
deals,X,,
dealt,,X,
debate,,X,
debated,,X,
debates,,X,
debating,,X,
decay,,X,
decayed,,X,
decaying,,X,
decays,,X,
deceive,,,X
deceived,,,X
deceives,,,X
deceiving,,,X
decide,,X,
